id,name,max_level,category,description,require_hitzone_physical,require_tags,match_any,require_damage_type
jia-chong-nozhi-rase,甲虫の知らせ,3,group,3 → フィールドでハチミツを採取した時の取得数が増える,,,,
jia-chong-noni-tai,甲虫の擬態,3,group,3 → しゃがみ移動速度が上昇し、大型モンスターに見つかりにくくなる,,,,
lin-zhang-rinoji-fa,鱗張りの技法,3,group,3 → モンスターに乗りやすくなり、乗り状態で成功しやすくなる,,,,
lin-zhong-nenogong-fu,鱗重ねの工夫,3,group,3 → 体力が４０％以下になった時、一定時間スタミナの消費量が減少する,,,,
ge-xi-gong-norou-xing,革細工の柔性,3,group,3 → 採集行動の速度が速くなり、採集・剥ぎ取り中に攻撃を受けてものけぞらなくなる,,,,
ge-xi-gong-nohua-xing,革細工の滑性,3,group,3 → 地形を利用したスライディングを行うと、一定時間会心率が上がる,,,,
mao-pi-noang-yang,毛皮の昂揚,3,group,3 → クエスト中、力尽きる度に攻撃力と防御力が上がる（最大２回まで）,,,,
mao-pi-noyou-huo,毛皮の誘惑,3,group,3 → 攻撃を当てた時、モンスターの注意をより強く引くようになる,,,,
nushinokua-ri,ヌシの誇り,3,group,3 → 旋律効果など、一定範囲内の仲間に作用する効果を発動した際、一時攻撃力上昇効果を追加で付与する,,,,
nushinofen-ji,ヌシの憤激,3,group,3 → 状態異常中、攻撃力が上昇する,,,,
hu-long-nomo-dong,護竜の脈動,3,group,3 → 竜乳結晶の近くにいると、赤ゲージとスタミナの回復速度が上昇する。,,,,
hu-long-noshou-ri,護竜の守り,3,group,3 → 竜都の跡形にいると、属性ダメージや特殊ダメージが軽減される。,,,,
xian-da-nodao-ki,先達の導き,3,group,3 → 活性化している採取ポイントの発生確率が上がる,,,,
nushinohun,ヌシの魂,3,group,3 → 致命的な大ダメージを一度だけ軽減発動前は攻撃力が上がり防御力が下がる発動後は防御力と耐性値が上がる,,,,
quan-woji-meshizhe,拳を極めし者,3,group,3 → 特殊アクションの威力が強化される。ドライブインパクトで相殺が可能になり成功すると一定時間さらに強化される。,,,,
zhu-ji-noxun-ri,祝祭の巡り,3,group,3 → クエスト中、素材を剥ぎ取れる回数＋１（クエストの途中からは発動しない）,,,,
rong-guang-noyu-re,栄光の誉れ,3,group,3 → クエストのターゲット報酬が増える（クエストの途中からは発動しない）,,,,
