skill_id,level,attack_bonus,affinity_bonus,crit_multiplier,element_multiplier,attack_multiplier,physical_multiplier
pi-swu-noli,2,10.0,,,,,
pi-swu-noli,4,25.0,,,,,
huo-long-noli,2,,,,,,
huo-long-noli,4,,,,,,
an-qi-shao-noli,2,15.0,,,,,
an-qi-shao-noli,4,30.0,,,,,
kai-long-noshou-hu,2,,,,,,
kai-long-noshou-hu,4,,,,,,
xue-shi-zi-nodou-zhi,2,,,,,,
xue-shi-zi-nodou-zhi,4,,,,,,
xiong-zhua-long-noli,2,8.0,,,,,
xiong-zhua-long-noli,4,18.0,,,,,
lei-e-long-nodou-zhi,2,,,,,,
lei-e-long-nodou-zhi,4,,,,,,
bo-yi-long-noshou-hu,2,,,,,,
bo-yi-long-noshou-hu,4,,,,,,
huang-lei-long-noli,2,,,,,,
huang-lei-long-noli,4,,,,,,
yu-yan-shao-nofan-ni,2,,,,,,
yu-yan-shao-nofan-ni,4,,,,,,
dong-feng-long-nofan-ni,2,,,,,,
dong-feng-long-nofan-ni,4,,,,,,
hei-shi-long-noli,2,,,,,,
hei-shi-long-noli,4,,,,,,
suo-ren-long-noji-e,2,,,,,,
suo-ren-long-noji-e,4,,,,,,
hu-suo-ren-long-noming-mo,2,,,,,,
hu-suo-ren-long-noming-mo,4,,,,,,
pao-hu-long-noli,2,,,,,,
pao-hu-long-noli,4,,,,,,
bai-chi-long-nomo-dong,2,,,,,,
bai-chi-long-nomo-dong,4,,,,,,
hua-wu-noqi-ri,2,,,,,,
hua-wu-noqi-ri,4,,,,,,
hai-long-nowo-lei,2,,,,,,
hai-long-nowo-lei,4,,,,,,
qian-ren-long-nodou-zhi,2,,,,,,
qian-ren-long-nodou-zhi,4,,,,,,
yong-huo-noqi-ri,2,,,,,,
yong-huo-noqi-ri,4,,,,,,
meng-deng-noqi-ri,2,,,,,,
meng-deng-noqi-ri,4,,,,,,
an-hei-qi-shi-nozheng,2,,,,,,
an-hei-qi-shi-nozheng,4,,,,,,
omegarezonansu,2,,,,,,
omegarezonansu,4,,,,,,
