skill_id,level,attack_bonus,affinity_bonus,crit_multiplier,element_multiplier,attack_multiplier,physical_multiplier
gong-ji,1,3.0,,,,,
gong-ji,2,5.0,,,,,
gong-ji,3,7.0,,,,,
gong-ji,4,8.0,,,,1.02,
gong-ji,5,9.0,,,,1.04,
gong-menoshou-shi,1,,,,,,
gong-menoshou-shi,2,,,,,,
gong-menoshou-shi,3,,,,,,
jian-qie-ri,1,,4.0,,,,
jian-qie-ri,2,,8.0,,,,
jian-qie-ri,3,,12.0,,,,
jian-qie-ri,4,,16.0,,,,
jian-qie-ri,5,,20.0,,,,
chao-hui-xin,1,,,1.28,,,
chao-hui-xin,2,,,1.31,,,
chao-hui-xin,3,,,1.34,,,
chao-hui-xin,4,,,1.37,,,
chao-hui-xin,5,,,1.4,,,
ba-dao-shu-ji,1,,50.0,,,,
ba-dao-shu-ji,2,,75.0,,,,
ba-dao-shu-ji,3,,100.0,,,,
huo-shu-xing-gong-ji-qiang-hua,1,,,,,,
huo-shu-xing-gong-ji-qiang-hua,2,,,,1.1,,
huo-shu-xing-gong-ji-qiang-hua,3,,,,1.2,,
shui-shu-xing-gong-ji-qiang-hua,1,,,,,,
shui-shu-xing-gong-ji-qiang-hua,2,,,,1.1,,
shui-shu-xing-gong-ji-qiang-hua,3,,,,1.2,,
bing-shu-xing-gong-ji-qiang-hua,1,,,,,,
bing-shu-xing-gong-ji-qiang-hua,2,,,,1.1,,
bing-shu-xing-gong-ji-qiang-hua,3,,,,1.2,,
lei-shu-xing-gong-ji-qiang-hua,1,,,,,,
lei-shu-xing-gong-ji-qiang-hua,2,,,,1.1,,
lei-shu-xing-gong-ji-qiang-hua,3,,,,1.2,,
long-shu-xing-gong-ji-qiang-hua,1,,,,,,
long-shu-xing-gong-ji-qiang-hua,2,,,,1.1,,
long-shu-xing-gong-ji-qiang-hua,3,,,,1.2,,
du-shu-xing-qiang-hua,1,,,,,,
du-shu-xing-qiang-hua,2,,,,,,
du-shu-xing-qiang-hua,3,,,,,,
ma-bei-shu-xing-qiang-hua,1,,,,,,
ma-bei-shu-xing-qiang-hua,2,,,,,,
ma-bei-shu-xing-qiang-hua,3,,,,,,
shui-mian-shu-xing-qiang-hua,1,,,,,,
shui-mian-shu-xing-qiang-hua,2,,,,,,
shui-mian-shu-xing-qiang-hua,3,,,,,,
